Date,Name,Year,Letterboxd URI,Rating
2026-01-17,Good Will Hunting,1997,https://boxd.it/2ahY,5
2026-04-06,Fight Club,1999,https://boxd.it/2a9q,4.5
2026-04-06,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,5
2026-04-06,Inglourious Basterds,2009,https://boxd.it/1JzG,4.5
2026-04-06,Whiplash,2014,https://boxd.it/7bQA,5
2026-04-06,Se7en,1995,https://boxd.it/29zs,5
2026-04-06,The Running Man,2025,https://boxd.it/u36A,2
2026-04-06,El Camino: A Breaking Bad Movie,2019,https://boxd.it/kv0q,4
2026-04-10,Jurassic World,2015,https://boxd.it/4n0g,2
2026-04-10,Shutter Island,2010,https://boxd.it/1U82,4.5
2026-04-10,Happy Gilmore,1996,https://boxd.it/1Yey,3
2026-04-10,Blade Runner,1982,https://boxd.it/2bcA,3.5
2026-04-10,Jurassic Park,1993,https://boxd.it/2aA2,3.5
2026-04-10,No Country for Old Men,2007,https://boxd.it/21ew,4.5
2026-04-10,Hereditary,2018,https://boxd.it/hNVe,3.5
2026-04-10,The Menu,2022,https://boxd.it/lScm,2
2026-04-10,The Notebook,2004,https://boxd.it/1UNE,3
2026-04-10,The Hangover,2009,https://boxd.it/1GjK,3
2026-04-10,The Hangover Part II,2011,https://boxd.it/PZI,2.5
2026-04-10,War Dogs,2016,https://boxd.it/9SlO,4
2026-04-10,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,5
2026-04-10,Glass Onion,2022,https://boxd.it/oCkK,2.5
2026-04-10,Wake Up Dead Man,2025,https://boxd.it/uAKS,4
2026-04-11,21 Jump Street,2012,https://boxd.it/J0,3.5
2026-04-11,22 Jump Street,2014,https://boxd.it/5Fvy,3
2026-04-11,Knives Out,2019,https://boxd.it/jWEA,4.5
2026-04-11,(500) Days of Summer,2009,https://boxd.it/1EmM,4
2026-04-11,A Charlie Brown Christmas,1965,https://boxd.it/1QDq,5
2026-04-11,Coherence,2013,https://boxd.it/6xza,3.5
2026-04-11,Baby Driver,2017,https://boxd.it/bhF2,3.5
